Airport	Country	Area	Router	Type	Interface	Layer2	Speed	IPBW	DNA	URN	USID	MTN	POP	Carrier	CircuitRef	OB	SerialId	Booking	Meshing	OB_Ratio	ServiceNetType
FLL	UNITED STATES		PFLL181	Primary	gigabitethernet0/0/1	MEA	20000				FI01VRSK85		MIAL02	AT&T	60KRGN760427SB				airporthubnet		APH
FLL	UNITED STATES		PFLL182	Secondary	gigabitethernet0/0/1	MEA	1000000	20000			FI01VRSP9E		ATLL02	AT&T	60KRGN760426SB				airporthubnet		APH
FLR	ITALY		PFLR261	Primary	gigabitethernet0/1	MEA	100000	2000			FI026G13B9		ROMT05						airporthubnet		APH
FLR	ITALY		PFLR262	Secondary	gigabitethernet0/1	DSL	8192	6000			FI01L7CLDF		FRAX01	Select Offnet	SK0200093				airporthubnet		APH
FMM	GERMANY		PFMM007	Primary	gigabitethernet8	DSL	8192	8192			FI01X3ABCA		FRAT01	SELECT OFFNET	CA0C8R57D1				airporthubnet		APH
FMM	GERMANY		PFMM008	Secondary	gigabitethernet8	DSL	8192	8192			FI01X3AECD		FRAT01	SELECT OFFNET	CA0C8R5TB2				airporthubnet		APH
FNC	PORTUGAL		PFNC058	Primary	gigabitethernet0/0/1	MEA	100000	2000			FI01XSYT9C		LIST03	NOS COMUNICACOES S.A.	DF_CEPL327737				airporthubnet		APH
FNC	PORTUGAL		PFNC059	Secondary	gigabitethernet0/0/1	DSL	6144	6144			FI01XW7R81		LONX03	NOS COMUNICACOES S.A.	IF_NETFIXA417274				airporthubnet		APH
FOR	BRAZIL		PFOR079	Primary	gigabitethernet0/1/0	MEA	100000	10000	-	-	FI01YSH7FC	KRIO610	RIOL01	-	FLA044010219A				airporthubnet		APH
FRA	GERMANY		PFRA1021	Primary	gigabitethernet0/0/1	MEA	1000000	100000			FI020QKEB8		DUST01	COLT TECHNOLOGY SERVICES	DUS/FRA/LE-257018				airporthubnet		APH
FRA	GERMANY		PFRA1023	Secondary	gigabitethernet0/0/1	MEA	1000000	100000			FI029MH583		FRAX01	COLT TECHNOLOGY SERVICES	440/ WEV2M/61420/61310/4V				airporthubnet		APH
FRA-JCI	GERMANY		PFRA2699	Primary	gigabitethernet0/1	MEA	1000000	1000000			FI027T7QB1		FRAT10						airporthubnet		APH
FRA-JCI	GERMANY		PFRA2700	Secondary	gigabitethernet0/1	MEA	1000000	1000000	f0:f7:55:76:72:81	-	FI027T7RB2	KFRF511	FRAT10						airporthubnet		APH
FRA-1S	GERMANY		PFRA4025	Standalone	gigabitethernet0/0/1	MEA	1000000	1000000			FI028EY7B1		FRAX01						airporthubnet		APH
FRA-1A-DR	GERMANY		PFRA4097	Standalone	gigabitethernet0/0/0	MEA	1000000				FI022G1JC3		AKLT04	EQUINIX	CA0CT8NFD9				airporthubnet		APH
FRA-1A-DR	GERMANY		PFRA4097	Standalone	gigabitethernet0/0/1	MEA	1000000	1000000			FI029H9PF8		FRAT10						airporthubnet		APH
FRA-s2	GERMANY		PFRA4337	Primary	gigabitethernet0/0/1	MEA	1000000	1000000			FI029LT182		FRAX01						airporthubnet		APH
FRA-s2	GERMANY		PFRA4338	Secondary	gigabitethernet0/0/1	MEA	1000000	1000000			FI029LT281		FRAT11						airporthubnet		APH
