Device_name1	ORD__Customer_code	ORD__Customer_name	ORD__Main_Community___VPN	ORD__Country_code	ORD__Country_name	UCPE_name1	AirportHub_id	profile	vedge_mpls_interface1	airporthub_router1	mpls_bw1	internet_bw1	Device_name2	UCPE_name2	vedge_mpls_interface2	mpls_bw2	airporthub_router2	internet_bw2	interface1	interface2
PICN207	85	cathay pacific airways	cxnet	KR	KOREA, REPUBLIC OF	UCPEICN0001	ICN	Gold	ge0/0.1502	PICN015	4096	30720	PICN208	UCPEICN0002	ge0/4.3951	4096	PICN016	30720	gigabitethernet0/0/1	gigabitethernet0/0/1
PICN218	60	singapore airlines ltd.	sqnet	KR	KOREA, REPUBLIC OF	UCPEICN0001	ICN	Platinum	ge0/0.1503	PICN015	10240	18432	PICN219	UCPEICN0002	ge0/4.3951	10240	PICN016	18432	gigabitethernet0/0/1	gigabitethernet0/0/1
PICN234	387	emirates	emiratesnet_aph	KR	KOREA, REPUBLIC OF	UCPEICN0001	ICN		ge0/0.1507	PICN015	1024	3072	PICN235	UCPEICN0002	ge0/4.3951	1024	PICN016	3072	gigabitethernet0/0/1	gigabitethernet0/0/1
PJFK605	85	cathay pacific airways	cxnet	US	UNITED STATES	UCPEJFK0001	JFK8	Gold	ge0/0.1502	PJFK468	4096	5120	PJFK606	UCPEJFK0002	ge0/4.3951	4096	PJFK469	5120	gigabitethernet0/1/0	gigabitethernet0/0/0
PJFK565	122	latam airlines group s.a.	sita_sdwannet	US	UNITED STATES	UCPEJFK0001	JFK8			PJFK468									gigabitethernet0/1/0	
PJFK620	166	china airlines ltd.	china_airnet	US	UNITED STATES	UCPEJFK0003	JFK4	Gold	ge0/0.1505	PJFK125	2048	5120	PJFK621	UCPEJFK0004	ge0/4.3951	2048		5120	gigabitethernet0/1	
PJFK626	60	singapore airlines ltd.	sq_amadeus_hub	US	UNITED STATES	UCPEJFK0003	JFK4	Platinum	ge0/0.1503	PJFK125	3072	9216	PJFK627	UCPEJFK0004	ge0/4.3951	3072		9216	gigabitethernet0/1	
PJFK648	387	emirates	emiratesnet_aph	US	UNITED STATES	UCPEJFK0003	JFK4		ge0/0.1507	PJFK125	1024	5120	PJFK649	UCPEJFK0004	ge0/4.3951	1024		5120	gigabitethernet0/1	
PJNB2195	85	cathay pacific airways	cxnet	ZA	SOUTH AFRICA	UCPEJNB0003	JNB	Gold	ge0/0.1502	PJNB520	1024	6144	PJNB2196	UCPEJNB0004	ge0/4.3951	1024	PJNB521	6144	gigabitethernet0/1	gigabitethernet0/2
PJNB2209	60	singapore airlines ltd.	sqnet	ZA	SOUTH AFRICA	UCPEJNB0003	JNB		ge0/0.1503	PJNB520	1024	4096	PJNB2210	UCPEJNB0004	ge0/4.3951	1024	PJNB521	4096	gigabitethernet0/1	gigabitethernet0/2
