UCPE_name	hypervisor	CE_USID	IATA_code	site_code	customer_code	customer_code_catalog	chassis_vendor	chassis_hardware	CORE_site_id	chassis_type	plug_type	network_status	booking_status	remaining_days_to_delete	Last_update	CPU	Memory	Storage	Max_VNF	airporthub_router	role
UCPEKIX0003	HKIX0003	GO0A8UXM44	KIX	KIX	53849	IC01	cisco	encs5412/k9	CI00069187	BVPN	BVPNINT	No	Reserved	-	2021/06/21 17:24:32	12.0	16000.0	480000.0	4	PKIX064	Primary
UCPEKIX0004	HKIX0004	GO0A8UXK42	KIX	KIX	53849	IC01	cisco	encs5412/k9	CI00069187	BVPN	BVPNINT	No	Reserved	-	2021/06/21 17:29:12	12.0	16000.0	480000.0	4	PKIX065	Secondary
UCPEKUL0003	HKUL0003	GO09KTTU3F	KUL	KUL	53849	IC01	cisco	encs5412/k9	CI00165204	BVPN	BVPNINT	No	Reserved	-	2019/08/27 08:53:28	12.0	16000.0	480000.0	4	PKUL513	Primary
UCPEKUL0004	HKUL0004	GO09KTUY33	KUL	KUL	53849	IC01	cisco	encs5412/k9	MSY5141405	BVPN	BVPNINT	No	Reserved	-	2019/09/16 07:38:42	12.0	16000.0	480000.0	4	PKUL514	Secondary
UCPEKUL0005	HKUL0005	GO0BS63X21	KUL	KUL	53849	IC01	cisco	encs5412/k9	CI00165204	BVPN	BVPNINT	No	Reserved	-	2021/04/16 18:50:51	12.0	16000.0	480000.0	4	PKUL513	Primary
UCPEKUL0006	HKUL0006	GO0BS6BQ28	KUL	KUL	53849	IC01	cisco	encs5412/k9	MSY5141405	BVPN	BVPNINT	No	Reserved	-	2021/05/27 17:56:09	12.0	16000.0	480000.0	4	PKUL514	Secondary
UCPELAX0001	HLAX0001	FI01Y8HVE4	LAX	LAXB	53849	IC01	cisco	encs5412/k9	MS12005996	BVPN	BVPNINT	No	Reserved	-	2018/11/13 17:20:39	12.0	16000.0	480000.0	4		
UCPELAX0002	HLAX0002	FI01Y8HRE0	LAX	LAXB	53849	IC01	cisco	encs5412/k9	MS12005996	BVPN	BVPNINT	No	Reserved	-	2018/11/13 17:30:47	12.0	16000.0	480000.0	4	PLAX657	Secondary
UCPELAX0005	HLAX0005	GO0874FZ61	LAX	LAXB	53849	IC01	cisco	encs5412/k9	CI00212123	BVPN	BVPNINT	No	Reserved	-	2023/02/20 13:35:52	12.0	16000.0	480000.0	4		
UCPELAX0006	HLAX0006	GO0874G1A	LAX	LAXB	53849	IC01	cisco	encs5412/k9	CI00212123	BVPN	BVPNINT	No	Reserved	-	2023/02/20 13:39:45	12.0	16000.0	480000.0	4	PLAX657	Secondary
