Device_name	Device_reference	interface_name	Status_Up_Down	HW_Status	Prot__status	Itf__use	Interface_description	Bandwidth	UCPE_name	Site_Code_Iata	Provider	UploadSpeed	DownloadSpeed	CarrierZoneRef	Offer_NAME	DSLServicetype
PJNB2139	PJNB2139	gigabitethernet3.100	U	up	up	LAN	-	1000000	UCPEJNB0004	JNB	TELKOM SA	153600	153600	ZAF0071778	VMS WebReach 150M	Select DSL
PKHH329	PKHH329	gigabitethernet3	U	up	up	WAN-INTERNET-VMS HINET FTTB 50M	WAN1 ORCH=RESEAU	1000000	UCPEKHH0002	KHH	CHT INTERNATIONAL	50000	50000	TWN0078670	VMS HiNet FTTB 50M	Select DSL
PKIX261	PKIX261	gigabitethernet3	U	up	up	WAN-INTERNET-VMS SUPER OCN 100M	WAN1 ORCH=RESEAU	1000000	UCPEKIX0002	KIX	NTT COMMUNICATIONS CORPORATION	100000	100000	JPN0062830	VMS Super OCN 100M	Select DSL
PKUL2041	PKUL2041	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET MY < 50M	WAN1 ORCH=RESEAU	1000000	UCPEKUL0004	KUL	Select Offnet	51200	51200	FM517KEN00	SIA Offnet MY < 50M	Select DSL
PLAX2128	PLAX2128	gigabitethernet2	U	up	up	LAN	WAN0 ORCH=RESEAU	9300	UCPELAX0002	LAXB	Select Offnet	100000	100000	SU6632EN00	SIA Offnet US < 100M	Select DSL
PLGW525	PLGW525	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET GB < 8M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPELGW0001	LGW	Select Offnet	8192	8192	FU317VEN00	SIA Offnet GB < 8M	Select DSL
PLHR2353	PLHR2353	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DEDICATED INTERNET ACCESS 300M	WAN1 ORCH=RESEAU	1000000	UCPELHR0001	LHR	VODAFONE CARRIER SERVICES	307200	307200	GBR0063813	VMS Dedicated Internet Access 300M	Select DSL
PLIM952	PLIM952	gigabitethernet3	U	up	up	WAN-INTERNET-VMS INTERNET DEDICADO FIBRE 40M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPELIM0004	LIM	AMERICATEL PERU S.A.	40960	40960	PER0060043	VMS Internet Dedicado Fibre 40M	Select DSL
PLIS2413	PLIS2413	gigabitethernet3	U	up	up	LAN	BACK2BACK-CPE WAN1 ORCH=DEPORT	1000000	UCPELIS0001	LIS	Select Offnet	30720	30720	SP7164EN00	SIA Offnet PT < 30M	Select DSL
PLIS2414	PLIS2414	gigabitethernet3	U	down	down	WAN-INTERNET-SIA OFFNET PT < 100M	WAN1 ORCH=RESEAU	1000000	UCPELIS0002	LIS	Select Offnet	102400	102400	FP7632EN00	SIA Offnet PT < 100M	Select DSL
PMAD5710	PMAD5710	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET ES < 150M	WAN1 ORCH=RESEAU	1000000	UCPEMAD0004	MAD2	Select Offnet	100000	100000	F2S98CEN00	SIA Offnet ES < 150M	Select DSL
PMAN1489	PMAN1489	gigabitethernet3	U	up	up	LAN	-- Internet Link	1000000	UCPEMAN0002	MAN1	BT WHOLESALE	100000	100000	GBR0055032	VMS Btnet Ethernet Fibre 100M (fully managed)	Select DSL
PMCO180	PMCO180	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET US < 100M	WAN1 ORCH=RESEAU	1000000	UCPEMCO0002	MCO	Select Offnet	50000	50000	FU6632EN00	SIA Offnet US < 100M	Select DSL
PMEL1547	PMEL1547	gigabitethernet3	U	up	up	WAN-INTERNET-VMS WBI BUSINESS PREMIUM 200M	WAN1 ORCH=RESEAU	1000000	UCPEMEL0002	MEL	TELSTRA	200000	200000	AUS0072401	VMS WBI Business Premium 200M	Select DSL
PMEX2186	PMEX2186	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DEDICADO 100	WAN1 ORCH=RESEAU	1000000	UCPEMEX0002	MEX	AXTEL S.A. DE C.V.	100000	100000	MEX0048278	VMS DEDICADO 100	Select DSL
PMIA988	PMIA988	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET US < 8M	WAN1 ORCH=RESEAU	1000000	UCPEMIA0001	MIA	Select Offnet	100000	100000	SU617VEN00	SIA Offnet US < 8M	Select DSL
PMLE133	PMLE133	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET MV < 50M	WAN1 ORCH=RESEAU	1000000	UCPEMLE0002	MLE	Select Offnet	50000	50000	SZ617KEN00	SIA Offnet MV < 50M	Select DSL
PMNL1771	PMNL1771	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DIRECT INTERNET ACCESS FIBER 50M	WAN1 ORCH=RESEAU	1000000	UCPEMNL0004	MNL	GLOBE TELECOM	51200	51200	PHL0072878	VMS Direct Internet Access Fiber 50M	Select DSL
PMNL1773	PMNL1773	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DIRECT INTERNET ACCESS FIBER 100M	WAN1 ORCH=RESEAU	102400	UCPEMNL0006	MNL-T3	GLOBE TELECOM	100000	100000	PHL0072883	VMS Direct Internet Access Fiber 100M	Select DSL
PMUC2513	PMUC2513	gigabitethernet3	U	up	up	WAN-INTERNET-VMS BUSINESS INTERNET CONNECT 100M FIBRE	WAN1 ORCH=RESEAU	1000000	UCPEMUC0002	MUC	VODAFONE D2 GMBH	96000	100000	DEU0064213	VMS Business Internet Connect 100M Fibre	Select DSL
PMVD435	PMVD435	gigabitethernet3	U	up	up	WAN-INTERNET-VMS INTERNET CORPORATIVO 10M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEMVD0002	MVD	ANTEL	10000	10000	URY0056920	VMS Internet Corporativo 10M	Select DSL
PMXP338	PMXP338	gigabitethernet3	U	up	up	WAN-INTERNET-VMS IP-LINK ACCESS 500MBPS	WAN1 ORCH=RESEAU	1000000	UCPEMXP0002	MXP	RETELIT S.P.A.	476000	462000	ITA0052302	VMS IP-Link Access 500Mbps	Select DSL
PNGO468	PNGO468	gigabitethernet3	U	up	up	WAN1 ORCH=RESEAU	WAN1 ORCH=RESEAU	1000000	UCPENGO0001	NGO	Select Offnet	30720	30720	SJ2164EN00	SIA Offnet JP < 30M	Select DSL
PNGO469	PNGO469	gigabitethernet3	U	up	up	WAN-INTERNET-VMS INTERNET GATEWAY 200M	WAN1 ORCH=RESEAU	1000000	UCPENGO0002	NGO	KDDI CORPORATION	200000	200000	JPN0069026	VMS Internet Gateway 200M	Select DSL
PNRT433	PNRT433	gigabitethernet3	U	up	up	WAN-INTERNET-VMS INTERNET GATEWAY 100M	WAN1 ORCH=RESEAU	1000000	UCPENRT0002	NRT	KDDI CORPORATION	94000	94500	JPN0069025	VMS Internet Gateway 100M	Select DSL
PORD447	PORD447	gigabitethernet3	U	up	up	WAN-INTERNET-VMS ADI (AT&T DEDICATED INTERNET) 100M	WAN1 ORCH=RESEAU	1000000	UCPEORD0002	ORD	AT&T	100000	100000	USA0051490	VMS ADI (AT&T Dedicated Internet) 100M	Select DSL
PPEK596	PPEK596	gigabitethernet3	U	up	up	WAN-INTERNET-VMS GTW DYXNET - DIA 15M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEPEK0002	PEK	CHINA UNICOM via OBS	8000	17000	CHN0072222	VMS Gtw DYXnet - DIA 15M	Select DSL
PPEN328	PPEN328	gigabitethernet3	U	up	up	WAN-INTERNET-VMS TM DIRECT 80M	WAN1 ORCH=RESEAU	1000000	UCPEPEN0002	PEN	TELEKOM MALAYSIA	47000	38000	MYS0065190	VMS TM Direct 80M	Select DSL
PPER684	PPER684	gigabitethernet3	U	up	up	WAN-INTERNET-VMS WBI BUSINESS PREMIUM 100M	WAN1 ORCH=RESEAU	1000000	UCPEPER0002	PER	TELSTRA	100000	100000	AUS0072400	VMS WBI Business Premium 100M	Select DSL
PPNH288	PPNH288	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET KH < 80M	WAN1 ORCH=RESEAU	1000000	UCPEPNH0002	PNH	Select Offnet	60000	60000	FC14B1EN00	SIA Offnet KH < 80M	Select DSL
